PMC,Mg_%,Al_%,Ca_%,Ti_%,Fe_%,Si_%,Mg_int,Al_int,Ca_int,Ti_int,Fe_int,Si_int,image_i,image_j
7,0.4605,0.0305,22.9336,0.114,1.0066,0.0067,31.9,8,50624.2,152.2,2015.6,5,409.04,416.18
8,0.5142,0,22.6415,0.1949,1.0006,0.013,35.7,0,50074.6,261.4,2009.1,9.7,408.99,413.59
9,0.3532,0.057,26.5924,0.1641,0.34,0.0179,24.7,15.2,57985.5,211.6,665.5,13.5,408.94,410.99
10,0.5261,0.035,26.6984,0,0.0849,0,38.2,9.6,59868.1,0,171.2,0,408.88,408.4
11,0.5856,0.0389,25.7927,0.027,0.1153,0.0085,41.2,10.3,56060.2,34.6,225.9,6.3,408.83,405.82
12,0.3874,0.0332,26.1383,0.0669,0.1746,0.0117,28,9.1,58597,88.1,351.1,9.1,408.78,403.23
13,0.4516,0.007,28.1056,0,0.194,0,31.3,1.8,60227.8,0,372.8,0,408.73,400.65
14,0.2913,0.0052,25.7213,0,0.1556,0,20.5,1.4,56090.9,0,303,0,408.68,398.08
15,0.3511,0.042,25.3987,0.0159,0.2587,0.0072,25,11.4,56216.2,20.7,513.8,5.5,408.62,395.51
16,0.2632,0.0398,25.3805,0.0622,0.6628,0.0047,18.1,10.5,54933,79.8,1288.1,3.5,408.57,392.95
17,0.4598,0.041,23.0102,0.0774,0.9318,0.0032,32.4,10.9,51428.5,104.1,1888.6,2.4,408.52,390.38
18,0.2448,0.0424,25.1197,0.0279,0.3967,0,17.3,11.5,55568,36.3,785.6,0,408.47,387.83
19,0.5115,0.0352,23.2988,0.0556,1.0426,0.0086,35,9.1,50704.4,73.2,2063.6,6.3,408.42,385.28
20,0.3789,0.0444,21.9376,0.0996,1.1,0.0043,26.2,11.6,48449.5,133.1,2204.6,3.2,408.37,382.73
21,0.4501,0.0231,26.8154,0.0194,0.4529,0.0088,31.4,6.1,58376.5,25,887.3,6.6,408.31,380.18
22,0.3658,0.0852,27.9245,0,0.1518,0.0185,26.8,23.8,63312.7,0,309,14.6,408.26,377.64
23,0.2837,0.0091,28.7454,0,0.0833,0,20.1,2.5,62937.5,0,162.8,0,408.21,375.11
24,0.4458,0.0704,27.8653,0.0106,0.1896,0.0166,31.3,18.7,60527.7,13.6,370.4,12.5,408.16,372.58
25,0.2725,0.0318,25.8286,0.0281,0.4329,0,19.2,8.5,56701.8,36.3,852,0,408.11,370.05
26,0.1728,0.0193,26.2268,0.0372,0.435,0.0036,12.1,5.2,57649.9,48,853.7,2.8,408.06,367.52
27,0.3921,0.0333,26.4093,0.022,0.4564,0,27.3,8.8,57484.3,28.3,892.8,0,408.01,365.01
28,0.2989,0.0621,24.7389,0.0442,0.6299,0,20.9,16.6,54429.8,57.7,1246.4,0,407.95,362.49
29,0.4512,0.022,22.9299,0.0817,1.0045,0,31.3,5.8,50519.3,108.6,2007.6,0,407.91,359.98
30,0.3733,0.0391,24.836,0.0355,0.659,0.0154,25.9,10.3,54192.7,46.1,1297.4,11.5,407.86,357.48
31,0.4143,0.0126,26.3345,0.0256,0.5572,0,28.7,3.3,57205.3,32.9,1088.3,0,407.8,354.97
32,0.4523,0.0546,23.4818,0,0.0951,0.0959,30.4,13.8,48629.8,0,178.1,68.9,407.76,352.48
33,0.2468,0.0139,3.1616,0,0.1125,0.3648,18.6,3.7,7192.6,0,268.1,274,407.7,349.98
34,0.2313,0,2.8408,0.0484,0.3556,0.437,15.9,0,6169.3,77.4,833.1,302.7,407.65,347.49
35,0.3318,0.0231,17.9094,0.0044,0.3091,0.0981,22.7,6,38207.8,5.6,598.5,72.1,407.6,345.01
36,0.4609,0.0383,28.5839,0.0083,0.1271,0.0016,32.2,10.1,61646.8,10.5,245.9,1.2,407.55,342.52
37,0.4817,0.0659,27.1199,0,0.0144,0,35.1,18.1,60758.6,0,29.1,0,407.5,340.04
38,0.4478,0.0269,26.9065,0.0285,0.3855,0,31.1,7.1,58210.7,36.4,750.1,0,407.46,337.57
39,0.3341,0.0695,25.4116,0.0319,0.5697,0.0144,23.6,18.7,56303,41.9,1136.7,11,407.4,335.1
40,0.3436,0.0295,25.4003,0.0308,0.6249,0,23.9,7.8,55599,39.9,1230.4,0,407.36,332.64
41,0.4754,0.0659,22.2279,0.1144,1.329,0.0067,32.7,17.1,49093.9,154.6,2678.8,4.9,407.3,330.17
42,0.3891,0.0464,21.9909,0.143,1.254,0.007,26.7,12.1,48488.2,192.2,2512.9,5.2,407.26,327.72
43,0.2543,0.0128,22.9204,0.1326,0.9856,0.0171,17.7,3.4,50941.5,177.2,1975.6,13,407.2,325.26
44,0.2868,0.0213,25.6211,0.0479,0.5332,0.0022,19.9,5.6,55780.7,61.7,1041.2,1.6,407.15,322.81
45,0.4359,0.0482,25.6269,0.0233,0.5023,0,31.3,13.1,57599.4,31.1,1016.8,0,407.11,320.37
46,0.6479,0.0065,32.9366,0.012,0.0767,0,40.3,1.5,63010.7,13.4,131.6,0,407.06,317.93
47,0.7711,0,29.7392,0.0065,0.1591,0,51.7,0,61415.7,8,296.5,0,407.01,315.49
48,0.404,0.0421,26.1128,0.0433,0.5026,0,28,11.1,56615.3,55.6,980,0,406.95,313.06
49,0.5296,0.0434,26.941,0.0084,0.3405,0.0104,37.3,11.6,59061.5,10.8,672.7,7.8,406.92,310.63
50,0.5277,0.0713,26.9815,0.0077,0.0189,0,38.4,19.6,60441.3,10.2,38.1,0,406.86,308.2
51,0.6006,0,29.1562,0,0.0544,0,39.4,0,58986.4,0,98.9,0,406.81,305.78
52,0.4939,0.0267,27.9136,0,0.263,0,34.6,7.1,60661.2,0,513.8,0,406.76,303.36
53,0.4641,0.0491,26.9603,0.0582,0.3416,0,32.4,13,58514.3,74.7,667.1,0,406.71,300.95
54,0.4876,0.0216,25.1428,0.0124,0.202,0.0032,34.6,5.8,55257.2,16,399.2,2.4,406.67,298.54
55,0.2898,0.013,26.6364,0.035,0.3977,0,20.5,3.5,58745.5,45.4,785.3,0,406.62,296.13
56,0.5085,0.02,24.9122,0.0446,0.3445,0,36.7,5.4,55922.3,59.3,697.2,0,406.56,293.73
57,0.3742,0.0715,26.739,0,0.2137,0,26.2,19,57894.4,0,415.6,0,406.52,291.33
58,0.3334,0.0385,24.3556,0,0.3412,0,23.4,10.3,53378.5,0,671.1,0,406.47,288.94
