PMC,Mg,Al,Ca,Ti,Fe,Si,image_i,image_j
7,0.4605,0.0305,22.9336,0.114,1.0066,0.0067,409.04,416.18
8,0.5142,0.0,22.6415,0.1949,1.0006,0.013,408.99,413.59
9,0.3532,0.057,26.5924,0.1641,0.34,0.0179,408.94,410.99
10,0.5261,0.035,26.6984,0.0,0.0849,0.0,408.88,408.4
11,0.5856,0.0389,25.7927,0.027,0.1153,0.0085,408.83,405.82
12,0.3874,0.0332,26.1383,0.0669,0.1746,0.0117,408.78,403.23
13,0.4516,0.007,28.1056,0.0,0.194,0.0,408.73,400.65
14,0.2913,0.0052,25.7213,0.0,0.1556,0.0,408.68,398.08
15,0.3511,0.042,25.3987,0.0159,0.2587,0.0072,408.62,395.51
16,0.2632,0.0398,25.3805,0.0622,0.6628,0.0047,408.57,392.95
17,0.4598,0.041,23.0102,0.0774,0.9318,0.0032,408.52,390.38
18,0.2448,0.0424,25.1197,0.0279,0.3967,0.0,408.47,387.83
19,0.5115,0.0352,23.2988,0.0556,1.0426,0.0086,408.42,385.28
20,0.3789,0.0444,21.9376,0.0996,1.1,0.0043,408.37,382.73
21,0.4501,0.0231,26.8154,0.0194,0.4529,0.0088,408.31,380.18
22,0.3658,0.0852,27.9245,0.0,0.1518,0.0185,408.26,377.64
23,0.2837,0.0091,28.7454,0.0,0.0833,0.0,408.21,375.11
24,0.4458,0.0704,27.8653,0.0106,0.1896,0.0166,408.16,372.58
25,0.2725,0.0318,25.8286,0.0281,0.4329,0.0,408.11,370.05
26,0.1728,0.0193,26.2268,0.0372,0.435,0.0036,408.06,367.52
27,0.3921,0.0333,26.4093,0.022,0.4564,0.0,408.01,365.01
28,0.2989,0.0621,24.7389,0.0442,0.6299,0.0,407.95,362.49
29,0.4512,0.022,22.9299,0.0817,1.0045,0.0,407.91,359.98
30,0.3733,0.0391,24.836,0.0355,0.659,0.0154,407.86,357.48
31,0.4143,0.0126,26.3345,0.0256,0.5572,0.0,407.8,354.97
32,0.4523,0.0546,23.4818,0.0,0.0951,0.0959,407.76,352.48
33,0.2468,0.0139,3.1616,0.0,0.1125,0.3648,407.7,349.98
34,0.2313,0.0,2.8408,0.0484,0.3556,0.437,407.65,347.49
35,0.3318,0.0231,17.9094,0.0044,0.3091,0.0981,407.6,345.01
36,0.4609,0.0383,28.5839,0.0083,0.1271,0.0016,407.55,342.52
37,0.4817,0.0659,27.1199,0.0,0.0144,0.0,407.5,340.04
38,0.4478,0.0269,26.9065,0.0285,0.3855,0.0,407.46,337.57
39,0.3341,0.0695,25.4116,0.0319,0.5697,0.0144,407.4,335.1
40,0.3436,0.0295,25.4003,0.0308,0.6249,0.0,407.36,332.64
41,0.4754,0.0659,22.2279,0.1144,1.329,0.0067,407.3,330.17
42,0.3891,0.0464,21.9909,0.143,1.254,0.007,407.26,327.72
43,0.2543,0.0128,22.9204,0.1326,0.9856,0.0171,407.2,325.26
44,0.2868,0.0213,25.6211,0.0479,0.5332,0.0022,407.15,322.81
45,0.4359,0.0482,25.6269,0.0233,0.5023,0.0,407.11,320.37
46,0.6479,0.0065,32.9366,0.012,0.0767,0.0,407.06,317.93
47,0.7711,0.0,29.7392,0.0065,0.1591,0.0,407.01,315.49
48,0.404,0.0421,26.1128,0.0433,0.5026,0.0,406.95,313.06
49,0.5296,0.0434,26.941,0.0084,0.3405,0.0104,406.92,310.63
50,0.5277,0.0713,26.9815,0.0077,0.0189,0.0,406.86,308.2
51,0.6006,0.0,29.1562,0.0,0.0544,0.0,406.81,305.78
52,0.4939,0.0267,27.9136,0.0,0.263,0.0,406.76,303.36
53,0.4641,0.0491,26.9603,0.0582,0.3416,0.0,406.71,300.95
54,0.4876,0.0216,25.1428,0.0124,0.202,0.0032,406.67,298.54
55,0.2898,0.013,26.6364,0.035,0.3977,0.0,406.62,296.13
56,0.5085,0.02,24.9122,0.0446,0.3445,0.0,406.56,293.73
57,0.3742,0.0715,26.739,0.0,0.2137,0.0,406.52,291.33
58,0.3334,0.0385,24.3556,0.0,0.3412,0.0,406.47,288.94
59,0.4266,0.0593,24.336,0.0639,0.7251,0.0099,406.42,286.55
60,0.4954,0.0318,23.6145,0.0985,0.8936,0.0078,406.38,284.16
61,0.3498,0.0436,19.6912,0.0127,0.4369,0.093,406.32,281.78
62,0.4963,0.0073,11.7533,0.0397,0.1428,0.2547,406.28,279.4
63,0.6161,0.0,27.6039,0.0,0.1459,0.0157,406.23,277.02
64,0.303,0.0521,26.7536,0.0,0.1867,0.0019,406.18,274.65
65,0.2744,0.0581,25.7051,0.0302,0.6481,0.0046,406.13,272.29
66,0.5625,0.0361,26.0936,0.1166,0.4814,0.0044,406.08,269.92
67,0.347,0.0959,26.0202,0.0309,0.5873,0.0044,406.04,267.56
68,0.153,0.0037,22.9256,0.0118,0.5711,0.0,405.99,265.21
69,0.357,0.0868,25.5474,0.0277,0.3695,0.0025,405.95,262.85
70,0.2772,0.0573,25.2916,0.0575,0.6042,0.0065,405.89,260.5
71,0.4619,0.0326,22.3555,0.0348,0.5726,0.0074,405.85,258.15
72,0.3054,0.0263,22.3226,0.1642,1.0519,0.0072,405.8,255.82
73,0.3046,0.0169,18.0126,0.2244,1.7044,0.0264,405.75,253.48
74,0.2201,0.0314,16.0112,0.2528,2.8466,0.0621,405.71,251.14
75,0.4272,0.0196,17.7504,0.2278,2.6813,0.0297,405.66,248.82
76,0.5042,0.0278,27.1331,0.0,0.4189,0.0,405.61,246.49
77,0.2714,0.0181,29.174,0.0,0.0403,0.0,405.57,244.16
78,0.623,0.0857,31.0594,0.0,0.0069,0.0,405.52,241.84
79,0.4788,0.0471,27.2652,0.0,0.037,0.0,405.47,239.53
80,0.5774,0.0141,28.9792,0.0,0.0574,0.0,405.43,237.22
81,0.2395,0.0046,24.986,0.0,0.1146,0.0,405.38,234.91
82,0.1697,0.0256,26.6189,0.0,0.1584,0.0,405.33,232.61
83,0.4042,0.0176,26.509,0.0125,0.1043,0.0,405.28,230.31
84,0.4732,0.057,31.503,0.0,0.0897,0.0,405.24,228.01
85,0.6306,0.0349,33.3417,0.0,0.0581,0.0,405.19,225.71
86,0.3273,0.0364,28.2391,0.0,0.0211,0.0,405.15,223.42
87,0.4739,0.0449,27.3125,0.0,0.0376,0.0,405.1,221.14
88,0.5039,0.083,29.3928,0.0,0.0469,0.0,405.05,218.85
89,0.662,0.0448,26.9931,0.0,0.0691,0.0,405.01,216.57
90,0.3609,0.0402,27.6764,0.0,0.0772,0.0051,404.96,214.3
91,0.2264,0.0066,27.2356,0.0,0.0669,0.0,404.92,212.02
92,0.2961,0.0172,28.7543,0.0173,0.1272,0.0,404.87,209.76
93,0.4196,0.0752,26.8994,0.0016,0.0758,0.0,404.83,207.49
94,0.2288,0.053,28.7009,0.0,0.0831,0.0,404.78,205.23
95,0.415,0.0123,28.8075,0.0,0.0527,0.0296,404.73,202.97
96,0.5319,0.0566,28.2291,0.0,0.0481,0.0071,404.69,200.72
97,0.2451,0.0395,29.2017,0.0,0.0586,0.0,404.64,198.47
98,0.6119,0.0352,31.8297,0.0,0.0648,0.0197,404.6,196.22
99,0.4588,0.045,29.8607,0.0,0.0787,0.0,404.55,193.98
100,0.5233,0.0674,29.6098,0.0,0.0799,0.0015,404.51,191.74
101,0.5859,0.0785,34.2466,0.0,0.0748,0.0,404.46,189.5
102,0.7874,0.0657,31.5931,0.0,0.0628,0.0,404.41,187.27
103,0.4114,0.0498,27.4429,0.0,0.0239,0.0081,402.06,187.28
104,0.2915,0.0266,28.9871,0.0,0.0297,0.0,402.1,189.51
105,0.0,0.0,21.1499,0.0,0.0295,0.0,402.15,191.75
106,0.5101,0.0,29.1262,0.0,0.0515,0.0,402.19,193.99
107,0.2445,0.0103,27.8712,0.0055,0.0304,0.0,402.23,196.24
108,0.4836,0.03,29.1832,0.0,0.0359,0.0,402.28,198.48
109,0.5458,0.0374,27.4764,0.0,0.042,0.0,402.32,200.73
110,0.652,0.0329,31.3052,0.0,0.0748,0.0,402.36,202.98
111,0.4268,0.0313,29.4223,0.0,0.0498,0.0053,402.41,205.24
112,0.5184,0.0206,29.2624,0.0,0.0597,0.0,402.45,207.5
113,0.4958,0.0664,23.6276,0.0,0.0783,0.0,402.5,209.77
114,0.4831,0.0581,29.4586,0.0,0.1736,0.0,402.54,212.04
115,0.525,0.0485,27.9638,0.0,0.1582,0.0088,402.58,214.31
116,0.3286,0.0576,29.8512,0.0,0.14,0.0,402.63,216.59
117,0.5264,0.0281,29.513,0.0,0.0571,0.0,402.67,218.86
118,0.3118,0.0278,29.0666,0.0,0.0415,0.0034,402.72,221.15
119,0.2907,0.0674,32.5965,0.003,0.0474,0.0,402.76,223.43
120,0.4196,0.0456,30.4554,0.0,0.0614,0.0,402.8,225.72
121,0.632,0.023,27.0761,0.0,0.0381,0.0,402.85,228.02
122,0.1689,0.0018,28.3822,0.0013,0.0526,0.0065,402.89,230.31
123,0.3648,0.0443,28.4189,0.0,0.0434,0.0187,402.94,232.62
124,0.761,0.0895,31.7245,0.0,0.0674,0.0015,402.98,234.92
125,0.6629,0.0529,30.3231,0.0,0.0286,0.0,403.03,237.23
126,0.2402,0.056,28.5498,0.0,0.0439,0.0,403.07,239.54
127,0.592,0.0605,31.4143,0.0,0.0658,0.0,403.12,241.85
128,0.3934,0.0404,29.2046,0.0,0.0384,0.0,403.16,244.18
129,0.5056,0.069,28.8586,0.0,0.0744,0.0,403.21,246.5
130,0.3407,0.0,24.1531,0.0809,0.8589,0.0,403.25,248.82
131,0.4371,0.0748,23.0058,0.0954,1.1782,0.0,403.3,251.16
132,0.2193,0.029,25.095,0.0544,0.6319,0.0027,403.34,253.49
133,0.1637,0.0003,21.5966,0.0695,0.6408,0.0092,403.39,255.82
134,0.256,0.0467,23.9838,0.0643,0.7509,0.0,403.43,258.17
135,0.4705,0.0375,24.8865,0.0536,0.717,0.0,403.48,260.51
136,0.4469,0.039,26.3895,0.0397,0.4389,0.0,403.52,262.86
137,0.3636,0.0367,23.1699,0.0494,0.6675,0.0128,403.57,265.21
138,0.3115,0.0201,22.6238,0.1392,1.3043,0.0049,403.62,267.57
139,0.3983,0.0215,24.351,0.0477,0.6136,0.0,403.66,269.93
140,0.2419,0.0271,22.6879,0.0772,0.6292,0.021,403.71,272.29
141,0.197,0.0096,20.9869,0.0938,1.0324,0.04,403.75,274.66
142,0.3891,0.0517,28.0388,0.0019,0.2468,0.0,403.8,277.03
143,0.5433,0.0075,21.886,0.0,0.2907,0.0794,403.84,279.41
144,0.3479,0.0103,18.2878,0.0149,0.3364,0.1199,403.89,281.79
145,0.191,0.0503,23.8735,0.0854,0.8635,0.0,403.93,284.17
146,0.4091,0.05,23.5437,0.0912,0.829,0.015,403.98,286.56
147,0.4463,0.0,24.2999,0.0,0.4268,0.0,404.04,288.95
148,0.2198,0.0492,27.3431,0.0,0.1497,0.0021,404.08,291.34
149,0.385,0.0719,26.7145,0.0053,0.4243,0.0128,404.13,293.74
150,0.4348,0.0019,26.2739,0.0334,0.4792,0.0008,404.17,296.14
151,0.4562,0.0456,22.8554,0.0289,0.4539,0.0073,404.22,298.55
152,0.1252,0.0705,24.3723,0.0713,0.9235,0.0,404.27,300.96
153,0.475,0.0386,24.3376,0.09,0.7469,0.0,404.31,303.37
154,0.3784,0.0491,26.6259,0.0,0.2608,0.0019,404.37,305.79
155,0.5036,0.064,26.6553,0.0,0.075,0.0003,404.4,308.21
156,0.3025,0.0713,27.9337,0.0175,0.1059,0.0,404.45,310.64
157,0.4069,0.0819,26.0441,0.0306,0.513,0.0038,404.49,313.07
158,0.2433,0.0466,28.1495,0.0138,0.2259,0.0,404.54,315.5
159,0.3791,0.0206,26.8065,0.0,0.0329,0.0015,404.59,317.94
160,0.3302,0.0412,25.4854,0.0085,0.2545,0.0,404.64,320.38
161,0.3613,0.0195,23.7758,0.011,0.3913,0.0,404.69,322.83
162,0.3222,0.0522,23.8029,0.1288,1.0326,0.0152,404.74,325.28
163,0.3958,0.0069,21.3596,0.2006,1.2573,0.0235,404.78,327.73
164,0.5091,0.0511,22.8787,0.1294,1.0228,0.0229,404.83,330.19
165,0.3159,0.0093,23.1921,0.0841,1.0086,0.0,404.87,332.65
166,0.4617,0.0334,24.9825,0.0483,0.7074,0.0069,404.93,335.11
167,0.3668,0.0206,24.5388,0.0476,0.5807,0.004,404.97,337.58
