PMC,Detector,Mg_%,Al_%,Ca_%,Ti_%,Fe_%,Si_%,Mg_int,Al_int,Ca_int,Ti_int,Fe_int,Si_int,image_i,image_j
7,A,0.4605,0.0305,22.9336,0.114,1.0066,0.0067,31.9,8.0,50624.2,152.2,2015.6,5.0,409.04,416.18
7,B,0.1968,0.0735,22.4898,0.1392,1.1196,0.0196,13.8,19.8,50480.9,188.8,2270.2,14.9,409.04,416.18
8,A,0.5142,0.0,22.6415,0.1949,1.0006,0.013,35.7,0.0,50074.6,261.4,2009.1,9.7,408.99,413.59
8,B,0.4354,0.0271,21.9504,0.2441,1.0346,0.015,30.8,7.3,49673.5,335.7,2123.7,11.4,408.99,413.59
9,A,0.3532,0.057,26.5924,0.1641,0.34,0.0179,24.7,15.2,57985.5,211.6,665.5,13.5,408.94,410.99
9,B,0.3778,0.0223,25.5964,0.1285,0.268,0.0,27.7,6.2,58330.1,172.7,547.6,0.0,408.94,410.99
10,A,0.5261,0.035,26.6984,0.0,0.0849,0.0,38.2,9.6,59868.1,0.0,171.2,0.0,408.88,408.4
10,B,0.3317,0.0052,29.7199,0.0,0.1033,0.0,22.6,1.4,62698.7,0.0,194.6,0.0,408.88,408.4
11,A,0.5856,0.0389,25.7927,0.027,0.1153,0.0085,41.2,10.3,56060.2,34.6,225.9,6.3,408.83,405.82
11,B,0.2687,0.0198,25.7678,0.0368,0.1258,0.0,19.0,5.3,56464.4,47.1,246.0,0.0,408.83,405.82
12,A,0.3874,0.0332,26.1383,0.0669,0.1746,0.0117,28.0,9.1,58597.0,88.1,351.1,9.1,408.78,403.23
12,B,0.3924,0.0725,28.1222,0.0638,0.1839,0.0031,27.3,19.2,60668.2,80.9,355.9,2.3,408.78,403.23
13,A,0.4516,0.007,28.1056,0.0,0.194,0.0,31.3,1.8,60227.8,0.0,372.8,0.0,408.73,400.65
13,B,0.6057,0.0,26.9746,0.0,0.1381,0.0,42.6,0.0,58569.4,0.0,270.1,0.0,408.73,400.65
14,A,0.2913,0.0052,25.7213,0.0,0.1556,0.0,20.5,1.4,56090.9,0.0,303.0,0.0,408.68,398.08
14,B,0.4487,0.0531,28.616,0.0,0.2322,0.0,31.3,14.1,61859.9,0.0,450.8,0.0,408.68,398.08
15,A,0.3511,0.042,25.3987,0.0159,0.2587,0.0072,25.0,11.4,56216.2,20.7,513.8,5.5,408.62,395.51
